region_gea,year,region_bld,value
WEU,2095,C-WEU-SWE,5.0
WEU,2100,C-WEU-AUT,5.0
WEU,2100,C-WEU-BEL,5.0
WEU,2100,C-WEU-CYP,5.0
WEU,2100,C-WEU-DEU,5.0
WEU,2100,C-WEU-DNK,5.0
WEU,2100,C-WEU-ESP,5.0
WEU,2100,C-WEU-FIN,5.0
WEU,2100,C-WEU-FRA,5.0
WEU,2100,C-WEU-GRC,5.0
WEU,2100,C-WEU-IRL,5.0
WEU,2100,C-WEU-ITA,5.0
WEU,2100,C-WEU-LUX,5.0
WEU,2100,C-WEU-MLT,5.0
WEU,2100,C-WEU-NLD,5.0
WEU,2100,C-WEU-PRT,5.0
WEU,2100,C-WEU-SWE,5.0
