,region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
223,C-EEU-CZE,EEU,sub,Zone_5A Cool Humid,perm,sfh,2020,p3,0.0394622419495153
224,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.2532477289384465
225,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.0719978292344875
226,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1965,p2,0.0378628336524241
227,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1970,p2,0.0515150987687554
228,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1975,p2,0.0922036712310783
229,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.1031080625921324
230,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1985,p2,0.061716693072494
231,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1990,p2,0.0552706926117035
232,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,1995,p3,0.0531400361628491
233,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.0429176527892598
234,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2005,p3,0.0346591147938538
235,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.0690193555804641
236,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.035348497156374
237,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.0379927334156761
238,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1945,p1,0.2532477289384465
239,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1960,p2,0.0719978292344875
240,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1965,p2,0.0378628336524241
241,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1970,p2,0.0515150987687554
242,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1975,p2,0.0922036712310783
243,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1980,p2,0.1031080625921324
244,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1985,p2,0.061716693072494
245,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1990,p2,0.0552706926117035
246,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,1995,p3,0.0531400361628491
247,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2000,p3,0.0429176527892598
248,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2005,p3,0.0346591147938538
249,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2010,p3,0.0690193555804641
250,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2015,p3,0.035348497156374
251,C-EEU-CZE,EEU,urb,Zone_5A Cool Humid,perm,sfh,2020,p3,0.0379927334156761
252,C-EEU-EST,EEU,rur,Zone_6A Cold Humid,perm,mfh,1945,p1,0.1402749534561329
