region_bld,clim,inc_cl,year,urt,value
C-WEU-DEU,Zone_6A Cold Humid,q3,2020,rur,0.22546870000000002
C-WEU-DEU,Zone_6A Cold Humid,q3,2020,sub,0.22552734999999996
C-WEU-DEU,Zone_6A Cold Humid,q3,2020,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2025,rur,0.22552110000000003
C-WEU-DEU,Zone_6A Cold Humid,q3,2025,sub,0.22555354999999996
C-WEU-DEU,Zone_6A Cold Humid,q3,2025,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2030,rur,0.22556080000000006
C-WEU-DEU,Zone_6A Cold Humid,q3,2030,sub,0.2255734
C-WEU-DEU,Zone_6A Cold Humid,q3,2030,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2035,rur,0.22557360000000004
C-WEU-DEU,Zone_6A Cold Humid,q3,2035,sub,0.2255798
C-WEU-DEU,Zone_6A Cold Humid,q3,2035,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2040,rur,0.22558270000000002
C-WEU-DEU,Zone_6A Cold Humid,q3,2040,sub,0.22558435
C-WEU-DEU,Zone_6A Cold Humid,q3,2040,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2045,rur,0.22558479999999997
C-WEU-DEU,Zone_6A Cold Humid,q3,2045,sub,0.2255854
C-WEU-DEU,Zone_6A Cold Humid,q3,2045,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2050,rur,0.2255855
C-WEU-DEU,Zone_6A Cold Humid,q3,2050,sub,0.22558575000000003
C-WEU-DEU,Zone_6A Cold Humid,q3,2050,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2055,rur,0.2255859
C-WEU-DEU,Zone_6A Cold Humid,q3,2055,sub,0.22558595
C-WEU-DEU,Zone_6A Cold Humid,q3,2055,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2060,rur,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2060,sub,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2060,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2065,rur,0.22558600000000004
C-WEU-DEU,Zone_6A Cold Humid,q3,2065,sub,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2065,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2070,rur,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2070,sub,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2070,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2075,rur,0.22558599999999998
C-WEU-DEU,Zone_6A Cold Humid,q3,2075,sub,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2075,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2080,rur,0.22558600000000004
C-WEU-DEU,Zone_6A Cold Humid,q3,2080,sub,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2080,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q3,2085,rur,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2085,sub,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q3,2085,urb,0.0
