region_bld,region_nuts,urt,clim,value
C-EEU-HRV,C-EEU-HRV-HR061,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR062,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR062,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR063,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR063,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR064,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR064,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR065,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR065,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU110,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU110,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU120,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU120,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU211,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU211,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU212,rur,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU212,urb,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU213,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU213,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU221,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU221,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU222,rur,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU222,urb,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU223,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU223,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU231,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU231,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU232,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU232,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU233,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU233,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU311,rur,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU311,urb,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU312,rur,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU312,urb,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU313,rur,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU313,urb,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU321,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU321,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU322,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU322,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU323,rur,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU323,urb,Zone_5A Cool Humid,1
C-EEU-HUN,C-EEU-HUN-HU331,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU331,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU332,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU332,urb,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU333,rur,Zone_4A Mixed Humid,1
C-EEU-HUN,C-EEU-HUN-HU333,urb,Zone_4A Mixed Humid,1
C-EEU-LTU,C-EEU-LTU-LT011,rur,Zone_6A Cold Humid,1
