,year,region_bld,clim,arch,urt,value
325,2020,C-EEU-SVK,Zone_5A Cool Humid,sfh,urb,0.231
326,2020,C-EEU-SVK,Zone_6A Cold Humid,mfh,rur,0.168
327,2020,C-EEU-SVK,Zone_6A Cold Humid,mfh,urb,0.19
328,2020,C-EEU-SVK,Zone_6A Cold Humid,sfh,rur,0.198
329,2020,C-EEU-SVK,Zone_6A Cold Humid,sfh,urb,0.232
330,2020,C-EEU-SVN,Zone_4A Mixed Humid,mfh,rur,0.193
331,2020,C-EEU-SVN,Zone_4A Mixed Humid,mfh,urb,0.264
332,2020,C-EEU-SVN,Zone_4A Mixed Humid,sfh,rur,0.196
333,2020,C-EEU-SVN,Zone_4A Mixed Humid,sfh,urb,0.249
334,2020,C-EEU-SVN,Zone_5A Cool Humid,mfh,rur,0.169
335,2020,C-EEU-SVN,Zone_5A Cool Humid,mfh,urb,0.185
336,2020,C-EEU-SVN,Zone_5A Cool Humid,sfh,rur,0.214
337,2020,C-EEU-SVN,Zone_5A Cool Humid,sfh,urb,0.147
338,2020,C-EEU-SVN,Zone_7A Very cold Humid,mfh,rur,0.213
339,2020,C-EEU-SVN,Zone_7A Very cold Humid,sfh,rur,0.225
340,2020,C-WEU-AUT,Zone_4A Mixed Humid,mfh,rur,0.21
341,2020,C-WEU-AUT,Zone_4A Mixed Humid,mfh,urb,0.134
342,2020,C-WEU-AUT,Zone_4A Mixed Humid,sfh,rur,0.174
343,2020,C-WEU-AUT,Zone_4A Mixed Humid,sfh,urb,0.214
344,2020,C-WEU-AUT,Zone_5A Cool Humid,mfh,rur,0.224
345,2020,C-WEU-AUT,Zone_5A Cool Humid,mfh,urb,0.178
346,2020,C-WEU-AUT,Zone_5A Cool Humid,sfh,rur,0.166
347,2020,C-WEU-AUT,Zone_5A Cool Humid,sfh,urb,0.167
348,2020,C-WEU-AUT,Zone_6A Cold Humid,mfh,rur,0.242
349,2020,C-WEU-AUT,Zone_6A Cold Humid,mfh,urb,0.208
350,2020,C-WEU-AUT,Zone_6A Cold Humid,sfh,rur,0.163
351,2020,C-WEU-AUT,Zone_6A Cold Humid,sfh,urb,0.139
